logic n.逻辑，推理；逻辑性
volleyball n.排球，排球运
volt n.伏特，伏
voltage n.电压
volume n.卷，册；容积；音量
voluntary a.自愿的，志愿的
vote n.选举，投票，表决
voyage n.&vi.航海，航空
view n.看；视力；风景
viewpoint n.观点，看法，见解
vigorous a.朝气蓬勃的
village n.乡村，村庄
vine n.葡萄树
vinegar n.醋
violence n.猛烈，激烈；暴力
vibrate vt.使颤动vi.颤动
vibration n.颤动，振动；摆动
vice n.罪恶；恶习；缺点
vice n.(老)虎钳
victim n.牺牲者，受害者
victorious a.胜利的，得胜的
victory n.胜利，战胜
wage n.工资，报酬
wage vt.开展(运动)
waggon n.四轮运货马车
waist n.腰，腰部
wait vi.等，等候n.等待
waiter n.侍者，服务员
wake vi.醒，醒来vt.唤醒
waken vi.醒来vt.弄醒
walk vi.&n.走，步行
wall n.墙，壁，围墙，城墙
wallet n.钱包，皮夹子
wander vi.漫游；迷路；离题
want vt.要n.需要；缺乏
war n.战争；冲突，斗争
warm a.温暖的；热烈的
warmth n.暖和，温暖；热烈
warn vt.警告vi.发生警告
wash vt.洗；冲出vi.洗涤
waste n.浪费；废物；垃圾
watch vt.&vi.观看n.手表
water n.水vt.使湿，灌溉
waterfall n.瀑布
waterproof a.不透水的，防水的
while conj.当…的时候；而
whilst conj.&n.当…的时候
whip vt.鞭笞；搅打n.鞭子
whirl vt.使回旋vi.&n.回旋
whisky n.威士忌酒
whisper vt.低声地讲vi.低语
whistle n.口哨vi.吹口哨
white a.白的n.白色
whitewash vt.粉刷，涂白
who pron.谁；…的人
whoever pron.谁；无论谁
whole a.完整的n.全部
wholly ad.完全地，全部
whom pron.(宾格)谁
whose pron.谁的；哪个人的
why ad.为什么
wicked a.坏的；令人厌恶的
wide a.宽阔的ad.全部地
widely ad.广，广泛
widen vt.加宽vi.变宽
widespread a.分布广的，普遍的
widow n.寡妇
width n.宽阔，广阔；宽度
wild a.野生的；野蛮的
willing a.愿意的，心甘情愿的
win vi.获胜，赢vt.赢得
wind n.风；气息，呼吸
wind vt.绕，缠绕vi.卷曲
window n.窗子，窗户，窗口
wine n.葡萄酒，果酒
wing n.翼，翅膀，翅
winner n.获胜者，优胜者
winter n.冬天，冬季
wipe vt.&n.揩，擦
wire n.金属线；电缆；电信
wireless a.不用电线的，无线的
wisdom n.智慧，才智；名言
wise a.有智慧的，聪明的
wish vt.祝；想要n.希望
wit n.智力，才智，智能
with prep.和…一起；具有
withdraw vt.收回；撤回vi.撤退
within prep.在…里面
without prep.无，没有，不
wreath n.花环，花圈，花冠
wreck n.失事；残骸vt.破坏
wrist n.腕，腕关节
write vt.书写；写vi.写
writer n.作者，作家，文学家
writing n.书写，写；著作
wrong a.错误的ad.错，不对
wave n.波；波涛vi.波动
wavelength n.波长
wax n.蜡，蜂蜡
way n.路；路线；方向
we pron.(主格)我们
weak a.弱的；软弱的
weaken vt.削弱vi.变弱
weakness n.虚弱，软弱；弱点
wealth n.财富，财产；丰富
wealthy a.富的，富裕的
weapon n.武器，兵器
wear vt.穿着，戴；磨损
weary a.疲倦的vt.使疲乏
weather n.天气
weave vt.织，编vi.纺织
wedding n.婚礼
Wednesday n.星期三
weed n.杂草，野草vi.除草
week n.星期，周
weekday n.周日，工作日
weekend n.周末，周末假期
weekly a.每周的ad.每周
weep vi.哭泣，流泪
weigh vt.称…的重量；掂量
weight n.重；砝码；重担
welcome int.&n.&vt.欢迎
weld vt.&n.焊接，熔接
welfare n.幸福，福利
well n.井
well ad.好；完全地int.嘿
well-known a.众所周知的，出名的
west n.西；西洋a.西方的
western a.西方的，西部的
westward a.向西的ad.向西
wet a.湿的；下雨的
what pron.什么a.什么
whatever pron.无论什么
wheat n.小麦
wheel n.轮，车轮
when ad.什么时候；当…时
whenever conj.无论何时，每当
where ad.在哪里pron.哪里
wherever ad.究竟在哪里
whether conj.是否
which pron.哪一个a.哪一个
whichever a.无论哪个，无论哪些
withstand vt.抵挡，反抗
witness n.证据；证人vt.目击
wolf n.狼
woman n.妇女，女人，女性
wonder n.惊异，惊奇；奇迹
wonderful a.惊人的；极好的
wood n.树林，森林；木头
wooden a.木制的；呆板的
wool n.羊毛；毛线，绒线
woollen a.羊毛制的，毛线的
word n.词；话；消息；语言
work n.工作；职业vi.工作
worker n.工人；工作者，人员
workman n.工人，劳动者，工匠
workshop n.车间，工场；创作室
world n.世界；世人；世间
world-wide a.遍及全球的
worm n.虫，蠕虫
worry vt.使烦恼vi.发愁
worse a.更坏的ad.更坏
worship n.礼拜；崇拜vt.崇拜
worst a.最坏的ad.最坏地
worth a.值…的n.价值
worthless a.无价值的，无用的
worthwhile a.值得花时间的
worthy a.有价值的；值得的
wound n.创伤，伤vt.使受伤
wrap vt.裹，包，捆n.披肩
yard n.院子，庭院；场地
yard n.码
yawn vi.打呵欠n.呵欠
year n.年；年年
yearly a.每年的ad.一年一度
yell vi.叫喊
yellow a.黄(色)的n.黄(色)
yes ad.是，是的
yesterday n.&ad.昨天，昨日
yet ad.还；已经conj.而
yield vt.&vi.出产n.产量
you pron.你，你们
young a.年轻的n.青年们
your pron.你的，你们的
yourself pron.你自己；你亲自
youth n.青春；青年们；青年
youthful a.年轻的，青年的
zeal n.热心，热情，热忱
zealous a.热心的，热情的
zebra n.斑马
zero n.零；零点，零度
zone n.地区，区域，范围
zoo n.动物园
